symbol,timestamp,open,high,low,close,volume,trade_count,vwap
GPC,2025-07-01 13:30:00+00:00,120.88,120.88,120.88,120.88,201.0,3.0,120.88
GPC,2025-07-01 13:33:00+00:00,121.58,121.58,121.58,121.58,225.0,2.0,121.58
GPC,2025-07-01 13:38:00+00:00,121.51,121.51,121.51,121.51,161.0,2.0,121.51
GPC,2025-07-01 13:41:00+00:00,121.835,121.835,121.835,121.835,102.0,2.0,121.835
GPC,2025-07-01 13:59:00+00:00,121.87,121.875,121.865,121.875,500.0,5.0,121.871
GPC,2025-07-01 14:02:00+00:00,121.9,121.9,121.9,121.9,317.0,2.0,121.9
GPC,2025-07-01 14:14:00+00:00,122.805,122.805,122.805,122.805,236.0,4.0,122.805
GPC,2025-07-01 14:15:00+00:00,122.865,122.865,122.865,122.865,250.0,5.0,122.865
GPC,2025-07-01 14:18:00+00:00,122.77,122.77,122.77,122.77,203.0,6.0,122.77
GPC,2025-07-01 14:26:00+00:00,123.27,123.37,123.27,123.37,505.0,6.0,123.334
GPC,2025-07-01 14:28:00+00:00,123.39,123.45,123.39,123.45,436.0,5.0,123.43
GPC,2025-07-01 14:32:00+00:00,123.655,123.655,123.655,123.655,100.0,1.0,123.655
GPC,2025-07-01 14:39:00+00:00,124.05,124.05,124.05,124.05,222.0,5.0,124.05
GPC,2025-07-01 14:43:00+00:00,124.22,124.22,124.22,124.22,100.0,1.0,124.22
GPC,2025-07-01 14:52:00+00:00,124.17,124.17,124.17,124.17,100.0,1.0,124.17
GPC,2025-07-01 14:56:00+00:00,124.22,124.22,124.22,124.22,126.0,3.0,124.22
GPC,2025-07-01 15:02:00+00:00,124.365,124.365,124.365,124.365,156.0,4.0,124.365
GPC,2025-07-01 15:04:00+00:00,124.55,124.555,124.5,124.555,3503.0,37.0,124.511022
GPC,2025-07-01 15:06:00+00:00,124.49,124.58,124.45,124.45,3436.0,39.0,124.48
GPC,2025-07-01 15:07:00+00:00,124.51,124.66,124.495,124.66,551.0,8.0,124.54
GPC,2025-07-01 15:08:00+00:00,124.82,124.82,124.815,124.815,210.0,4.0,124.8175
GPC,2025-07-01 15:09:00+00:00,124.81,124.81,124.81,124.81,200.0,2.0,124.81
GPC,2025-07-01 15:11:00+00:00,124.86,124.86,124.86,124.86,133.0,1.0,124.86
GPC,2025-07-01 15:12:00+00:00,124.75,124.75,124.745,124.75,3483.0,50.0,124.749464
GPC,2025-07-01 15:13:00+00:00,124.74,124.98,124.7,124.98,1373.0,18.0,124.770875
GPC,2025-07-01 15:14:00+00:00,124.78,124.81,124.78,124.81,630.0,9.0,124.786
GPC,2025-07-01 15:15:00+00:00,124.62,124.63,124.62,124.63,866.0,13.0,124.628387
GPC,2025-07-01 15:16:00+00:00,124.6,124.6,124.58,124.58,589.0,5.0,124.584
GPC,2025-07-01 15:17:00+00:00,124.7,124.79,124.7,124.74,949.0,13.0,124.733333
GPC,2025-07-01 15:18:00+00:00,124.83,124.83,124.83,124.83,125.0,4.0,124.83
GPC,2025-07-01 15:34:00+00:00,125.68,125.68,125.64,125.64,225.0,3.0,125.66
GPC,2025-07-01 15:35:00+00:00,125.645,125.645,125.645,125.645,276.0,5.0,125.645
GPC,2025-07-01 15:37:00+00:00,125.62,125.675,125.62,125.675,400.0,3.0,125.6475
GPC,2025-07-01 15:38:00+00:00,125.675,125.675,125.675,125.675,105.0,4.0,125.675
GPC,2025-07-01 15:39:00+00:00,125.675,125.795,125.675,125.795,704.0,9.0,125.731429
GPC,2025-07-01 15:41:00+00:00,125.895,125.895,125.895,125.895,566.0,10.0,125.895
GPC,2025-07-01 15:43:00+00:00,126.11,126.135,126.11,126.135,490.0,9.0,126.12875
GPC,2025-07-01 15:46:00+00:00,126.28,126.28,126.28,126.28,106.0,2.0,126.28
GPC,2025-07-01 15:49:00+00:00,126.435,126.435,126.435,126.435,210.0,5.0,126.435
GPC,2025-07-01 15:53:00+00:00,126.25,126.25,126.25,126.25,138.0,3.0,126.25
GPC,2025-07-01 16:02:00+00:00,126.255,126.255,126.255,126.255,100.0,1.0,126.255
GPC,2025-07-01 16:06:00+00:00,126.255,126.255,126.255,126.255,129.0,5.0,126.255
GPC,2025-07-01 16:08:00+00:00,126.215,126.215,126.215,126.215,209.0,4.0,126.215
GPC,2025-07-01 16:10:00+00:00,126.175,126.2,126.175,126.2,1010.0,12.0,126.183529
GPC,2025-07-01 16:11:00+00:00,126.26,126.26,126.26,126.26,265.0,10.0,126.26
GPC,2025-07-01 16:14:00+00:00,126.39,126.39,126.39,126.39,323.0,5.0,126.39
GPC,2025-07-01 16:15:00+00:00,126.41,126.41,126.41,126.41,157.0,4.0,126.41
GPC,2025-07-01 16:17:00+00:00,126.295,126.34,126.275,126.32,1434.0,17.0,126.318495
GPC,2025-07-01 16:18:00+00:00,126.43,126.43,126.43,126.43,143.0,3.0,126.43
GPC,2025-07-01 16:23:00+00:00,126.085,126.085,126.085,126.085,200.0,2.0,126.085
GPC,2025-07-01 16:25:00+00:00,126.09,126.09,126.09,126.09,325.0,4.0,126.09
GPC,2025-07-01 16:28:00+00:00,126.05,126.05,126.05,126.05,150.0,2.0,126.05
GPC,2025-07-01 16:31:00+00:00,126.035,126.035,126.035,126.035,226.0,9.0,126.035
GPC,2025-07-01 16:33:00+00:00,126.04,126.04,126.035,126.035,300.0,5.0,126.037525
GPC,2025-07-01 16:35:00+00:00,126.03,126.05,126.03,126.03,1003.0,13.0,126.037059
GPC,2025-07-01 16:39:00+00:00,126.005,126.005,126.005,126.005,229.0,3.0,126.005
GPC,2025-07-01 16:40:00+00:00,125.84,125.84,125.84,125.84,130.0,4.0,125.84
GPC,2025-07-01 16:47:00+00:00,125.09,125.09,125.09,125.09,101.0,2.0,125.09
GPC,2025-07-01 16:57:00+00:00,124.53,124.53,124.53,124.53,104.0,2.0,124.53
GPC,2025-07-01 17:02:00+00:00,124.27,124.27,124.27,124.27,193.0,5.0,124.27
GPC,2025-07-01 17:10:00+00:00,124.28,124.28,124.28,124.28,175.0,5.0,124.28
GPC,2025-07-01 17:11:00+00:00,124.275,124.275,124.275,124.275,200.0,1.0,124.275
GPC,2025-07-01 17:16:00+00:00,124.43,124.43,124.43,124.43,132.0,7.0,124.43
GPC,2025-07-01 17:17:00+00:00,124.46,124.46,124.46,124.46,100.0,1.0,124.46
GPC,2025-07-01 17:18:00+00:00,124.49,124.49,124.49,124.49,100.0,1.0,124.49
GPC,2025-07-01 17:27:00+00:00,124.505,124.64,124.505,124.635,1038.0,10.0,124.562749
GPC,2025-07-01 17:30:00+00:00,124.73,124.74,124.73,124.74,200.0,2.0,124.735
GPC,2025-07-01 17:31:00+00:00,124.81,124.82,124.8,124.82,627.0,9.0,124.81
GPC,2025-07-01 17:33:00+00:00,124.65,124.65,124.65,124.65,100.0,1.0,124.65
GPC,2025-07-01 17:35:00+00:00,124.69,124.69,124.68,124.68,700.0,5.0,124.681429
GPC,2025-07-01 17:40:00+00:00,124.695,124.74,124.695,124.74,380.0,7.0,124.725
GPC,2025-07-01 17:41:00+00:00,124.745,124.745,124.745,124.745,127.0,3.0,124.745
GPC,2025-07-01 17:54:00+00:00,124.585,124.585,124.585,124.585,100.0,1.0,124.585
GPC,2025-07-01 17:57:00+00:00,124.49,124.49,124.49,124.49,515.0,10.0,124.49
GPC,2025-07-01 17:59:00+00:00,124.545,124.545,124.545,124.545,102.0,3.0,124.545
GPC,2025-07-01 18:00:00+00:00,124.545,124.545,124.545,124.545,251.0,8.0,124.545
GPC,2025-07-01 18:08:00+00:00,124.39,124.39,124.39,124.39,250.0,6.0,124.39
GPC,2025-07-01 18:14:00+00:00,124.45,124.45,124.45,124.45,300.0,4.0,124.45
GPC,2025-07-01 18:17:00+00:00,124.45,124.45,124.45,124.45,232.0,5.0,124.45
GPC,2025-07-01 18:18:00+00:00,124.54,124.54,124.505,124.505,309.0,10.0,124.5225
GPC,2025-07-01 18:19:00+00:00,124.54,124.545,124.54,124.545,216.0,5.0,124.5425
GPC,2025-07-01 18:20:00+00:00,124.52,124.52,124.52,124.52,188.0,5.0,124.52
GPC,2025-07-01 18:22:00+00:00,124.52,124.605,124.52,124.605,500.0,7.0,124.573616
GPC,2025-07-01 18:23:00+00:00,124.57,124.575,124.57,124.575,233.0,4.0,124.5725
GPC,2025-07-01 18:31:00+00:00,124.595,124.595,124.595,124.595,227.0,3.0,124.595
GPC,2025-07-01 18:32:00+00:00,124.69,124.69,124.69,124.69,198.0,4.0,124.69
GPC,2025-07-01 18:45:00+00:00,124.69,124.7,124.69,124.7,361.0,8.0,124.696667
GPC,2025-07-01 18:47:00+00:00,124.765,124.765,124.765,124.765,319.0,11.0,124.765
GPC,2025-07-01 18:48:00+00:00,124.79,124.79,124.79,124.79,103.0,2.0,124.79
GPC,2025-07-01 18:50:00+00:00,124.89,125.0,124.89,125.0,527.0,8.0,124.916
GPC,2025-07-01 18:56:00+00:00,125.3,125.3,125.29,125.29,335.0,7.0,125.295
GPC,2025-07-01 18:57:00+00:00,125.39,125.39,125.39,125.39,104.0,2.0,125.39
GPC,2025-07-01 19:01:00+00:00,125.185,125.185,125.185,125.185,100.0,1.0,125.185
GPC,2025-07-01 19:05:00+00:00,125.31,125.31,125.295,125.295,380.0,7.0,125.3025
GPC,2025-07-01 19:06:00+00:00,125.31,125.34,125.31,125.335,726.0,8.0,125.331493
GPC,2025-07-01 19:07:00+00:00,125.335,125.335,125.315,125.315,712.0,6.0,125.321667
GPC,2025-07-01 19:08:00+00:00,125.28,125.295,125.28,125.295,510.0,4.0,125.292
GPC,2025-07-01 19:15:00+00:00,125.15,125.15,125.15,125.15,206.0,3.0,125.15
GPC,2025-07-01 19:17:00+00:00,125.22,125.22,125.22,125.22,140.0,6.0,125.22
GPC,2025-07-01 19:19:00+00:00,125.29,125.29,125.29,125.29,143.0,1.0,125.29
GPC,2025-07-01 19:22:00+00:00,125.32,125.32,125.32,125.32,283.0,7.0,125.32
GPC,2025-07-01 19:29:00+00:00,125.17,125.17,125.13,125.13,340.0,13.0,125.15
GPC,2025-07-01 19:33:00+00:00,125.21,125.21,125.21,125.21,113.0,2.0,125.21
GPC,2025-07-01 19:34:00+00:00,125.27,125.27,125.27,125.27,158.0,2.0,125.27
GPC,2025-07-01 19:36:00+00:00,125.21,125.21,125.21,125.21,475.0,13.0,125.21
GPC,2025-07-01 19:39:00+00:00,124.98,124.98,124.98,124.98,101.0,2.0,124.98
GPC,2025-07-01 19:40:00+00:00,125.0,125.1,125.0,125.1,1125.0,17.0,125.031135
GPC,2025-07-01 19:45:00+00:00,125.245,125.245,125.225,125.225,263.0,5.0,125.235
GPC,2025-07-01 19:46:00+00:00,125.225,125.31,125.225,125.31,515.0,13.0,125.281667
GPC,2025-07-01 19:47:00+00:00,125.46,125.46,125.46,125.46,325.0,6.0,125.46
GPC,2025-07-01 19:48:00+00:00,125.44,125.44,125.44,125.44,132.0,7.0,125.44
GPC,2025-07-01 19:49:00+00:00,125.42,125.42,125.39,125.39,493.0,8.0,125.408333
GPC,2025-07-01 19:50:00+00:00,125.42,125.46,125.42,125.46,638.0,15.0,125.44
GPC,2025-07-01 19:51:00+00:00,125.48,125.5,125.48,125.5,510.0,8.0,125.493333
GPC,2025-07-01 19:52:00+00:00,125.42,125.42,125.405,125.405,488.0,11.0,125.4125
GPC,2025-07-01 19:53:00+00:00,125.36,125.36,125.36,125.36,498.0,10.0,125.36
GPC,2025-07-01 19:54:00+00:00,125.26,125.27,125.25,125.27,636.0,13.0,125.262063
GPC,2025-07-01 19:55:00+00:00,125.5,125.5,125.5,125.5,249.0,4.0,125.5
GPC,2025-07-01 19:56:00+00:00,125.44,125.46,125.44,125.46,1171.0,32.0,125.450991
GPC,2025-07-01 19:57:00+00:00,125.45,125.45,125.34,125.36,788.0,18.0,125.381635
GPC,2025-07-01 19:58:00+00:00,125.3,125.34,125.26,125.26,2449.0,67.0,125.308703
GPC,2025-07-01 19:59:00+00:00,125.24,125.29,125.24,125.29,2832.0,81.0,125.253708
